 City_Name , country ,Latitude, LONGITUDE
  new york  ,u.s.a.,40.7128,-74.006
LONDON,United Kingdom  ,51.5074,-0.1278
tOkYo!!,japan ,35.6895,139.6917
  São   Paulo,BRAZIL,-23.5505,-46.6333
mumbai (bombay),  India,19.076,72.8777
CaIrO ,egypt,30.0444,31.2357
sydney***,Australia ,-33.8688,151.2093
  moscow,RUSSIA  ,55.7558,37.6173
"mexico city, cdmx",méxico,19.4326,-99.1332
LAGOS  ,nigeria,6.5244,3.3792
paris ,FRANCE,48.8566,2.3522
  ToRoNtO,canada ,43.6532,-79.3832
seoul#1,South  KOREA,37.5665,126.978
istanbul (İstanbul) ,türkiye,41.0082,28.9784
buenos    aires,argentina  ,-34.6037,-58.3816
 zürich,Switzerland,47.3769,8.5417
cape town!,SOUTH AFRICA ,-33.9249,18.4241
SINGAPORE   ,singapore,1.3521,103.8198
reykjavík ,  Iceland,64.1466,-21.9426
bei jing / 北京,China,39.9042,116.4074
